LocationId,LocationName,NrVoters
LOCAL-0302FA,"União das freguesias de Milhazes, Vilar de Figos e Faria",1403
LOCAL-0302FB,União das freguesias de Negreiros e Chavão,1570
LOCAL-0302FC,União das freguesias de Quintiães e Aguiar,738
LOCAL-0302FD,União das freguesias de Sequeade e Bastuço (São João e Santo Estevão),1310
LOCAL-0302FE,União das freguesias de Silveiros e Rio Covo (Santa Eulália),1348
LOCAL-0302FF,União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte,932
LOCAL-0302FG,"União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães",2710
LOCAL-0302FH,União das freguesias de Vila Cova e Feitos,1584
LOCAL-010000,Aveiro,423771
LOCAL-010100,Águeda,27297
LOCAL-010103,Aguada de Cima,2248
LOCAL-010109,Fermentelos,1885
LOCAL-010112,Macinhata do Vouga,1758
LOCAL-010119,Valongo do Vouga,2694
LOCAL-010121,União das freguesias de Águeda e Borralha,7652
LOCAL-010122,União das freguesias de Barrô e Aguada de Baixo,1806
LOCAL-010123,"União das freguesias de Belazaima do Chão, Castanheira do Vouga e Agadão",937
LOCAL-010124,União das freguesias de Recardães e Espinhel,3677
LOCAL-010125,União das freguesias de Travassô e Óis da Ribeira,1462
LOCAL-010126,"União das freguesias de Trofa, Segadães e Lamas do Vouga",2724
LOCAL-010127,União das freguesias do Préstimo e Macieira de Alcoba,454
LOCAL-010200,Albergaria-a-Velha,14562
LOCAL-010202,Alquerubim,1327
LOCAL-010203,Angeja,1176
LOCAL-010204,Branca,3237
LOCAL-010206,Ribeira de Fráguas,958
LOCAL-010209,Albergaria-a-Velha e Valmaior,6197
LOCAL-010210,São João de Loure e Frossos,1667
LOCAL-010300,Anadia,16120
LOCAL-010304,Avelãs de Caminho,644
LOCAL-010305,Avelãs de Cima,1151
LOCAL-010307,Moita,1352
LOCAL-010309,Sangalhos,2200
LOCAL-010310,São Lourenço do Bairro,1360
LOCAL-010312,Vila Nova de Monsarros,873
LOCAL-010313,Vilarinho do Bairro,1540
LOCAL-010316,"União das freguesias de Amoreira da Gândara, Paredes do Bairro e Ancas",1570
LOCAL-010317,União das freguesias de Arcos e Mogofores,3560
LOCAL-010318,"União das freguesias de Tamengos, Aguim e Óis do Bairro",1870
LOCAL-010400,Arouca,13427
LOCAL-010402,Alvarenga,596
LOCAL-010407,Chave,846
LOCAL-010409,Escariz,1325
LOCAL-010411,Fermedo,776
LOCAL-010413,Mansores,720
LOCAL-010414,Moldes,725
LOCAL-010415,Rossas,971
LOCAL-010416,Santa Eulália,1420
LOCAL-010417,São Miguel do Mato,388
LOCAL-010418,Tropeço,715
LOCAL-010419,Urrô,629
LOCAL-010420,Várzea,348
LOCAL-010421,União das freguesias de Arouca e Burgo,3108
LOCAL-010422,União das freguesias de Cabreiros e Albergaria da Serra,98
LOCAL-010423,União das freguesias de Canelas e Espiunca,654
LOCAL-010424,União das freguesias de Covelo de Paivó e Janarde,108
LOCAL-010500,Aveiro,47237
LOCAL-010501,Aradas,5598
LOCAL-010502,Cacia,4140
LOCAL-010505,Esgueira,7790
LOCAL-010508,Oliveirinha,2696
LOCAL-010510,São Bernardo,3306
LOCAL-010511,São Jacinto,460
LOCAL-010513,Santa Joana,4847
LOCAL-010515,Eixo e Eirol,3483
LOCAL-010516,"Requeixo, Nossa Senhora de Fátima e Nariz",2609
LOCAL-010517,União das freguesias de Glória e Vera Cruz,12308
LOCAL-010600,Castelo de Paiva,9496
LOCAL-010602,Fornos,743
LOCAL-010606,Real,691
LOCAL-010607,Santa Maria de Sardoura,1372
LOCAL-010608,São Martinho de Sardoura,1205
LOCAL-010610,"União das freguesias de Raiva, Pedorido e Paraíso",2522
LOCAL-010611,União das freguesias de Sobrado e Bairros,2963
LOCAL-010700,Espinho,20356
LOCAL-010702,Espinho,7146
LOCAL-010704,Paramos,1886
LOCAL-010705,Silvalde,3910
LOCAL-010706,União das freguesias de Anta e Guetim,7414
LOCAL-010800,Estarreja,14578
LOCAL-010801,Avanca,3369
LOCAL-010805,Pardilhó,1901
LOCAL-010806,Salreu,2083
LOCAL-010808,União das freguesias de Beduído e Veiros,5540
LOCAL-010809,União das freguesias de Canelas e Fermelã,1685
LOCAL-010900,Santa Maria da Feira,86932
LOCAL-010901,Argoncilhe,5224
LOCAL-010902,Arrifana,3702
LOCAL-010904,Escapães,2151
LOCAL-010907,Fiães,4512
LOCAL-010908,Fornos,2148
LOCAL-010913,Lourosa,5248
LOCAL-010914,Milheirós de Poiares,2284
LOCAL-010916,Mozelos,4773
LOCAL-010917,Nogueira da Regedoura,3746